Song-Name,Artists,Genre,Album,Language,Mood,tags
Bezubaan,K.K.,BollywoodRomantic,LaaliKiShaadiMeinLaaddooDeewana,Hindi,romantic,K.K. BollywoodRomantic LaaliKiShaadiMeinLaaddooDeewana romanticHindi
Mere Bina Tu (Duet Version),HarshdeepKaur Pritam,BollywoodSad,PhataPosterNikhlaHero,Hindi,sad,HarshdeepKaur Pritam BollywoodSad PhataPosterNikhlaHero sadHindi
Alisha,AnushkaManchanda SalimMerchant,BollywoodDance,PyaarImpossible,Hindi,Energetic,AnushkaManchanda SalimMerchant BollywoodDance PyaarImpossible EnergeticHindi
Aaj Kal Yaad Kuch Aur Rehta Nahin,MohammadAziz,BollywoodRomantic,Nagina,Hindi,romantic,MohammadAziz BollywoodRomantic Nagina romanticHindi
Dil Kho Gaya,AnuradhaPaudwal UditNarayan,BollywoodRomantic,Dil,Hindi,romantic,AnuradhaPaudwal UditNarayan BollywoodRomantic Dil romanticHindi
Sun Soniye,AntaraMitra MohammedIrfan,BollywoodRomantic,AjabGazabbLove,Hindi,romantic,AntaraMitra MohammedIrfan BollywoodRomantic AjabGazabbLove romanticHindi
Baadal,SunidhiChauhan,BollywoodSad,Akira,Hindi,sad,SunidhiChauhan BollywoodSad Akira sadHindi
Ae Mere Humsafar,AlkaYagnik VinodRathod,BollywoodRomantic,Baazigar,Hindi,romantic,AlkaYagnik VinodRathod BollywoodRomantic Baazigar romanticHindi
Idhar Chala Mein Udhar Chala,AlkaYagnik UditNarayan,BollywoodDance,KoiMilGaya,Hindi,Energetic,AlkaYagnik UditNarayan BollywoodDance KoiMilGaya EnergeticHindi
Kise Dhoondta Hai Pagal Sapare,AnuradhaPaudwal,BollywoodDance,Nigahen,Hindi,Energetic,AnuradhaPaudwal BollywoodDance Nigahen EnergeticHindi
Mere Dushman Mere Bhai,Hariharan,BollywoodSad,Border,Hindi,sad,Hariharan BollywoodSad Border sadHindi
Aye Meri Zohra Jabeen,MannaDey,BollywoodDance,Waqt,Hindi,Energetic,MannaDey BollywoodDance Waqt EnergeticHindi
Aye Dil Laaya Hai Bahaar,Hariharan KavitaKrishnamurthy,BollywoodDance,KyaKehna,Hindi,Energetic,Hariharan KavitaKrishnamurthy BollywoodDance KyaKehna EnergeticHindi
Bad Baby,Badshah GippyGrewal,BollywoodDance,SecondHandHusband,Hindi,Energetic,Badshah GippyGrewal BollywoodDance SecondHandHusband EnergeticHindi
Dil Kyun Yeh Mera,K.K.,BollywoodRomantic,Kites,Hindi,romantic,K.K. BollywoodRomantic Kites romanticHindi
Tum Se Milke,AshaBhosle SureshWadkar,BollywoodRomantic,Parinda,Hindi,romantic,AshaBhosle SureshWadkar BollywoodRomantic Parinda romanticHindi
Dhup Chik,Badshah Raftaar,BollywoodDance,Fugly,Hindi,Energetic,Badshah Raftaar BollywoodDance Fugly EnergeticHindi
Aadha Ishq,NatalieDiLuccio ShreyaGhoshal,BollywoodRomantic,BandBaajaBaaraat,Hindi,romantic,NatalieDiLuccio ShreyaGhoshal BollywoodRomantic BandBaajaBaaraat romanticHindi
Pink Lips (Remix),KhushbooGrewal,BollywoodDance,HateStory2,Hindi,Energetic,KhushbooGrewal BollywoodDance HateStory2 EnergeticHindi
Paathshaala,Blaaze MohammedAslam NareshIyer,BollywoodDance,RangDeBasanti,Hindi,Energetic,Blaaze MohammedAslam NareshIyer BollywoodDance RangDeBasanti EnergeticHindi
Ala Barfi,MohitChauhan,BollywoodDance,Barfi,Hindi,Energetic,MohitChauhan BollywoodDance Barfi EnergeticHindi
Kudi Tu Butter,YoYoHoneySingh,BollywoodDance,BajateyRaho,Hindi,Energetic,YoYoHoneySingh BollywoodDance BajateyRaho EnergeticHindi
Churiyan Kanak Gayee,IlaArun LataMangeshkar MoinuddinManchala,BollywoodDance,Lamhe,Hindi,Energetic,IlaArun LataMangeshkar MoinuddinManchala BollywoodDance Lamhe EnergeticHindi
Kapoor & Sons (Mashup),Multiple,BollywoodDance,Kapoor&Sons,Hindi,Energetic,Multiple BollywoodDance Kapoor&Sons EnergeticHindi
Mujhse Dosti Karoge,AlkaYagnik AshaBhosle UditNarayan,BollywoodRomantic,MujhseDostiKaroge!,Hindi,romantic,AlkaYagnik AshaBhosle UditNarayan BollywoodRomantic MujhseDostiKaroge! romanticHindi
Hum To Dil Se Haare,AlkaYagnik UditNarayan,BollywoodSad,Josh,Hindi,sad,AlkaYagnik UditNarayan BollywoodSad Josh sadHindi
Soniye,K.K.,BollywoodRomantic,Heartless,Hindi,romantic,K.K. BollywoodRomantic Heartless romanticHindi
Albela Sajan,KavitaKrishnamurthy ShankarMahadevan UstadSultanKhan,BollywoodDance,HumDilDeChukeSanam,Hindi,Energetic,KavitaKrishnamurthy ShankarMahadevan UstadSultanKhan BollywoodDance HumDilDeChukeSanam EnergeticHindi
Ehsan Tera Hoga Mujh Par,MohammedRafi,BollywoodRomantic,Junglee,Hindi,romantic,MohammedRafi BollywoodRomantic Junglee romanticHindi
Rola Pe Gaya,EarlD'Souza HardKaur Mahadevan MahalakshmiIyer MasterSaleem Shankar,BollywoodDance,PatialaHouse,Hindi,Energetic,EarlD'Souza HardKaur Mahadevan MahalakshmiIyer MasterSaleem Shankar BollywoodDance PatialaHouse EnergeticHindi
Bande Mein Tha Dum… Vande Mataram,PranabBiswas ShreyaGhoshal SonuNigam,BollywoodDance,LageRahoMunnaBhai,Hindi,Energetic,PranabBiswas ShreyaGhoshal SonuNigam BollywoodDance LageRahoMunnaBhai EnergeticHindi
Jawani Janeman,AshaBhosle,BollywoodDance,NamakHalaal,Hindi,Energetic,AshaBhosle BollywoodDance NamakHalaal EnergeticHindi
Yahi Hota Pyaar,HimeshReshammiya SunidhiChauhan,BollywoodSad,NamasteyLondon,Hindi,sad,HimeshReshammiya SunidhiChauhan BollywoodSad NamasteyLondon sadHindi
Aa Aa E Ooh Ooh Ooh Mera Dil Na Todo,Abhijeet,BollywoodDance,RajaBabu,Hindi,Energetic,Abhijeet BollywoodDance RajaBabu EnergeticHindi
Main To Raste Se Ja Raha Tha,AlkaYagnik KumarSanu,BollywoodRomantic,CoolieNo.1,Hindi,romantic,AlkaYagnik KumarSanu BollywoodRomantic CoolieNo.1 romanticHindi
Awaarapan Banjarapan,M.M.Keeravani,BollywoodDance,Jism,Hindi,Energetic,M.M.Keeravani BollywoodDance Jism EnergeticHindi
Yeh Raat Aur Yeh Doori,AshaBhosle S.P.Balasubrahmanyam,BollywoodDance,AndazApnaApna,Hindi,Energetic,AshaBhosle S.P.Balasubrahmanyam BollywoodDance AndazApnaApna EnergeticHindi
Mere Dil Jigar Se Guzree Hai,AlkaYagnik KumarSanu,BollywoodDance,Soldier,Hindi,Energetic,AlkaYagnik KumarSanu BollywoodDance Soldier EnergeticHindi
Yeh Dil Jo Hai Badmaash Hai,MohitChauhan MonaliThakur ShreyaGhoshal,BollywoodDance,PhirSe,Hindi,Energetic,MohitChauhan MonaliThakur ShreyaGhoshal BollywoodDance PhirSe EnergeticHindi
Saawali Si Raat,ArijitSingh,BollywoodRomantic,Barfi,Hindi,romantic,ArijitSingh BollywoodRomantic Barfi romanticHindi
Aaankhein Milayenge Darr Se,K.Mohan NehaBhasin,BollywoodDance,Neerja,Hindi,Energetic,K.Mohan NehaBhasin BollywoodDance Neerja EnergeticHindi
Ishq Vishq,Kamaalkhan SunidhiChauhan SuzanneD'Mello,BollywoodRomantic,Wanted,Hindi,romantic,Kamaalkhan SunidhiChauhan SuzanneD'Mello BollywoodRomantic Wanted romanticHindi
Hoshwalon Ko Khabar Kya,JagjitSingh,BollywoodSad,Sarfarosh,Hindi,sad,JagjitSingh BollywoodSad Sarfarosh sadHindi
Ghoomar,K.K. SunidhiChauhan,BollywoodDance,ChupChupKe,Hindi,Energetic,K.K. SunidhiChauhan BollywoodDance ChupChupKe EnergeticHindi
Dil Mere,KumarSanu,BollywoodDance,Sooryavansham,Hindi,Energetic,KumarSanu BollywoodDance Sooryavansham EnergeticHindi
Mujhe Haq Hai,ShreyaGhoshal UditNarayan,BollywoodRomantic,Vivah,Hindi,romantic,ShreyaGhoshal UditNarayan BollywoodRomantic Vivah romanticHindi
Musafir,TusharJoshi,BollywoodRomantic,JaggaJasoos,Hindi,romantic,TusharJoshi BollywoodRomantic JaggaJasoos romanticHindi
Chalak Chalak,ShreyaGhoshal UditNarayan VinodRathod,BollywoodDance,Devdas,Hindi,Energetic,ShreyaGhoshal UditNarayan VinodRathod BollywoodDance Devdas EnergeticHindi
Subah Subah,ShekharRavjiani VishalDadlani ZubeenGarg,BollywoodDance,ISeeYou,Hindi,Energetic,ShekharRavjiani VishalDadlani ZubeenGarg BollywoodDance ISeeYou EnergeticHindi
Pyar Kar,LataMangeshkar UditNarayan,BollywoodRomantic,DilToPagalHai,Hindi,romantic,LataMangeshkar UditNarayan BollywoodRomantic DilToPagalHai romanticHindi
O Jaana Na Jaana,KumarSanu LataMangeshkar,BollywoodRomantic,JabPyarKisisiSeHotaHai,Hindi,romantic,KumarSanu LataMangeshkar BollywoodRomantic JabPyarKisisiSeHotaHai romanticHindi
Mhare Hiwra Main Nache Mor,AlkaYagnik AnuradhaPaudwal Hariharan KavitaKrishnamurthy KumarSanu UditNarayan,BollywoodDance,HumSaath-SaathHain,Hindi,Energetic,AlkaYagnik AnuradhaPaudwal Hariharan KavitaKrishnamurthy KumarSanu UditNarayan BollywoodDance HumSaath-SaathHain EnergeticHindi
Raitaa Phail Gayaa,DivyaKumar,BollywoodDance,Shaandaar,Hindi,Energetic,DivyaKumar BollywoodDance Shaandaar EnergeticHindi
Tere Bina,RahatFatehAliKhan,BollywoodRomantic,Tezz,Hindi,romantic,RahatFatehAliKhan BollywoodRomantic Tezz romanticHindi
Sava Dollar (Lavni),SunidhiChauhan,BollywoodDance,Aiyyaa,Hindi,Energetic,SunidhiChauhan BollywoodDance Aiyyaa EnergeticHindi
Baba Meri Yeh Jawani,FalguniPathak,BollywoodDance,Ghaath,Hindi,Energetic,FalguniPathak BollywoodDance Ghaath EnergeticHindi
Deewana Main Chala,UditNarayan,BollywoodDance,PyaarKiyaToDarnaKya,Hindi,Energetic,UditNarayan BollywoodDance PyaarKiyaToDarnaKya EnergeticHindi
Zindagi Ki Yahi Reet Hai,KishoreKumar,BollywoodDance,Mr.India,Hindi,Energetic,KishoreKumar BollywoodDance Mr.India EnergeticHindi
Chak De,SadhanaSargam SonuNigam,BollywoodDance,HumTum,Hindi,Energetic,SadhanaSargam SonuNigam BollywoodDance HumTum EnergeticHindi
Sirf Tum,AnuradhaPaudwal Hariharan,BollywoodDance,SirfTum,Hindi,Energetic,AnuradhaPaudwal Hariharan BollywoodDance SirfTum EnergeticHindi
Chhaliya,PiyushMishra SunidhiChauhan,Bollywood,Tashan,Hindi,Energetic,PiyushMishra SunidhiChauhan Bollywood Tashan EnergeticHindi
Dum Dum Diga Diga,Mukesh,BollywoodDance,Chhalia,Hindi,Energetic,Mukesh BollywoodDance Chhalia EnergeticHindi
Aankhon Ne Tumhari,AlkaYagnik KumarSanu,BollywoodRomantic,IshqVishk,Hindi,romantic,AlkaYagnik KumarSanu BollywoodRomantic IshqVishk romanticHindi
Janam Janam,AtifAslam,Bollywood,PhataPosterNikhlaHero,Hindi,Energetic,AtifAslam Bollywood PhataPosterNikhlaHero EnergeticHindi
Tanha Tanha,AditiPaul JubinNautiyal,BollywoodRomantic,DilJoNaKehSaka,Hindi,romantic,AditiPaul JubinNautiyal BollywoodRomantic DilJoNaKehSaka romanticHindi
Heer,Mahalakshmi MikaSingh,BollywoodRomantic,BaaBaaaBlackSheep,Hindi,romantic,Mahalakshmi MikaSingh BollywoodRomantic BaaBaaaBlackSheep romanticHindi
Wat Wat Wat,ArijitSingh ShashwatSingh,BollywoodDance,Tamasha,Hindi,Energetic,ArijitSingh ShashwatSingh BollywoodDance Tamasha EnergeticHindi
Tanha Tanha Ghum Ke Dhunde Dil,AditiPaul JubinNautiyal,BollywoodRomantic,DilJoNaKehSaka,Hindi,romantic,AditiPaul JubinNautiyal BollywoodRomantic DilJoNaKehSaka romanticHindi
Pyar Ki Raahen,Shaan,BollywoodSad,Bewafaa,Hindi,sad,Shaan BollywoodSad Bewafaa sadHindi
Aap Ki Khatir,HimeshReshammiya,BollywoodRomantic,AapKiKhatir,Hindi,romantic,HimeshReshammiya BollywoodRomantic AapKiKhatir romanticHindi
Saat Rang Mein Khel Rahi Hain,AmitKumar AnuradhaPaudwal,BollywoodDance,AakhirKyon,Hindi,Energetic,AmitKumar AnuradhaPaudwal BollywoodDance AakhirKyon EnergeticHindi
Jaadoo Jaadoo,AdnanSami AlkaYagnik,BollywoodDance,KoiMilGaya,Hindi,Energetic,AdnanSami AlkaYagnik BollywoodDance KoiMilGaya EnergeticHindi
Yaadon Mein,CucaRoseta JonitaGandhi MohammedIrfan,BollywoodSad,JabHarryMetSejal,Hindi,sad,CucaRoseta JonitaGandhi MohammedIrfan BollywoodSad JabHarryMetSejal sadHindi
Dil Deewana Bin Sajna Ke,S.P.Balasubrahmanyam,BollywoodDance,MainePyarKiya,Hindi,Energetic,S.P.Balasubrahmanyam BollywoodDance MainePyarKiya EnergeticHindi
Chori Chori Chupke Chupke,AlkaYagnik BabulSupriyo,BollywoodDance,ChoriChoriChupkeChupke,Hindi,Energetic,AlkaYagnik BabulSupriyo BollywoodDance ChoriChoriChupkeChupke EnergeticHindi
Behene De,Karthik MohammedIrfan,BollywoodDance,Raavan,Hindi,Energetic,Karthik MohammedIrfan BollywoodDance Raavan EnergeticHindi
O Re Kanchi,AlkaYagnik Shaan,BollywoodDance,Asoka,Hindi,Energetic,AlkaYagnik Shaan BollywoodDance Asoka EnergeticHindi
Rasiya,ShrutiPathak,BollywoodSensual,Kurbaan,Hindi,Romantic,ShrutiPathak BollywoodSensual Kurbaan RomanticHindi
Meri Zindagi Ek Pyaas,JaspinderNarula ShankarMahadevan,BollywoodSad,Judaai,Hindi,sad,JaspinderNarula ShankarMahadevan BollywoodSad Judaai sadHindi
Tum Jo Aaye,RahatFatehAliKhan,BollywoodRomantic,OnceUponATimeInMumbai,Hindi,romantic,RahatFatehAliKhan BollywoodRomantic OnceUponATimeInMumbai romanticHindi
Laal Ishq,ArijitSingh,BollywoodSad,GoliyonKiRasleelaRam-leela,Hindi,sad,ArijitSingh BollywoodSad GoliyonKiRasleelaRam-leela sadHindi
Tujhe Jeevan Ki Dor Se,LataMangeshkar MohammedRafi,BollywoodRomantic,AsliNaqli,Hindi,romantic,LataMangeshkar MohammedRafi BollywoodRomantic AsliNaqli romanticHindi
Aao Bachho Tumhe Dikhaye,KaviPradeep,BollywoodPatriotic,Jagriti,Hindi,sad,KaviPradeep BollywoodPatriotic Jagriti sadHindi
Mujhse Mohabbat Ka,AlkaYagnik KumarSanu,BollywoodRomantic,HumHainRahiPyaarKe,Hindi,romantic,AlkaYagnik KumarSanu BollywoodRomantic HumHainRahiPyaarKe romanticHindi
Mujhe Pyaar Hua,Abhijeet AlkaYagnik,BollywoodDance,Judaai,Hindi,Energetic,Abhijeet AlkaYagnik BollywoodDance Judaai EnergeticHindi
Satarangi Re,KavitaKrishnamurthy SonuNigam,BollywoodDance,DilSe,Hindi,Energetic,KavitaKrishnamurthy SonuNigam BollywoodDance DilSe EnergeticHindi
Mann Ki Lagan,RahatFatehAliKhan,BollywoodSad,Paap,Hindi,sad,RahatFatehAliKhan BollywoodSad Paap sadHindi
Dil Na Jaane Kyun,AnushkaManchanda AtifAslam,BollywoodDance,JayantabhaiKiLuvStory,Hindi,Energetic,AnushkaManchanda AtifAslam BollywoodDance JayantabhaiKiLuvStory EnergeticHindi
Usne Bola Kem Che,BaliBrahmbhatt SunidhiChauhan,BollywoodDance,JisDeshMainGangaRehtaHai,Hindi,Energetic,BaliBrahmbhatt SunidhiChauhan BollywoodDance JisDeshMainGangaRehtaHai EnergeticHindi
Sajna Ve Sajna,SunidhiChauhan,BollywoodDance,Chameli,Hindi,Energetic,SunidhiChauhan BollywoodDance Chameli EnergeticHindi
Mera Yaar,JavedBashir,BollywoodRomantic,BhaagMilkhaBhaag,Hindi,romantic,JavedBashir BollywoodRomantic BhaagMilkhaBhaag romanticHindi
Jiyein Kyun,Papon,BollywoodSad,DumMaaroDum,Hindi,sad,Papon BollywoodSad DumMaaroDum sadHindi
Dil Ki Hai Tamanna,NehaBhasin ShaliniSingh VijayPrakash,BollywoodDance,Force,Hindi,Energetic,NehaBhasin ShaliniSingh VijayPrakash BollywoodDance Force EnergeticHindi
Dum Duma Dum,AnuradhaPaudwal UditNarayan,BollywoodDance,Dil,Hindi,Energetic,AnuradhaPaudwal UditNarayan BollywoodDance Dil EnergeticHindi
Dil Chahta Hai,ShankarMahadevan,BollywoodDance,DilChahtaHai,Hindi,Energetic,ShankarMahadevan BollywoodDance DilChahtaHai EnergeticHindi
Aai Pappi – Tu Hai Meri Soniye,NeerajShridhar,BollywoodDance,KismatKonnection,Hindi,Energetic,NeerajShridhar BollywoodDance KismatKonnection EnergeticHindi
Where’s the Party Tonight,LoyMendonsa Shaan ShankarMahadevan VasundharaDas,BollywoodDance,KabhiAlvidaNaaKehna,Hindi,Energetic,LoyMendonsa Shaan ShankarMahadevan VasundharaDas BollywoodDance KabhiAlvidaNaaKehna EnergeticHindi
Prem Jaal Mein,AnuradhaSriram SukhwinderSingh,BollywoodDanceRomantic,JisDeshMeinGangaRehtaHai,Hindi,romantic,AnuradhaSriram SukhwinderSingh BollywoodDanceRomantic JisDeshMeinGangaRehtaHai romanticHindi
Boi Boi,ArunBakshi VinodRathod,BollywoodDance,Laadla,Hindi,Energetic,ArunBakshi VinodRathod BollywoodDance Laadla EnergeticHindi
Jeevan Se Bhari Teri Ankhen,KishoreKumar,BollywoodRomantic,Safar,Hindi,romantic,KishoreKumar BollywoodRomantic Safar romanticHindi
Teri Pyari Pyari Soorat Ko,MohammedRafi,BollywoodRomantic,Sasural,Hindi,romantic,MohammedRafi BollywoodRomantic Sasural romanticHindi
Bas Ek Kinng,HardKaur JaavedJaffrey NeerajShridhar,BollywoodDance,SinghIsKingh,Hindi,Energetic,HardKaur JaavedJaffrey NeerajShridhar BollywoodDance SinghIsKingh EnergeticHindi
Jeena Yahan Marna Yahan,Mukesh,BollywoodSad,MeraNaamJoker,Hindi,sad,Mukesh BollywoodSad MeraNaamJoker sadHindi
Banarasiya,Anwesshaa MeenalJain ShreyaGhoshal,BollywoodRomantic,Raanjhanaa,Hindi,romantic,Anwesshaa MeenalJain ShreyaGhoshal BollywoodRomantic Raanjhanaa romanticHindi
What’s Going On?,KunalGanjawala SunidhiChauhan,BollywoodDance,SalaamNamaste,Hindi,Energetic,KunalGanjawala SunidhiChauhan BollywoodDance SalaamNamaste EnergeticHindi
Aye Watan Aye Watan,JaspinderNarula SukhwinderSingh UditNarayan,BollywoodPatriotic,HindustanKiKasam,Hindi,sad,JaspinderNarula SukhwinderSingh UditNarayan BollywoodPatriotic HindustanKiKasam sadHindi
Dulhan Hum Le Jayenge,AlkaYagnik KumarSanu SunitaRao,BollywoodRomantic,DulhanHumLeJayenge,Hindi,romantic,AlkaYagnik KumarSanu SunitaRao BollywoodRomantic DulhanHumLeJayenge romanticHindi
Aa Bhi Ja Sanam,AtifAslam,BollywoodSad,Prince,Hindi,sad,AtifAslam BollywoodSad Prince sadHindi
Salaam Namaste,KunalGanjawala VasundharaDas,BollywoodDance,SalaamNamaste,Hindi,Energetic,KunalGanjawala VasundharaDas BollywoodDance SalaamNamaste EnergeticHindi
Mar Jaava,Merchant ShrutiPathak,BollywoodSensual,Faraar,Hindi,Romantic,Merchant ShrutiPathak BollywoodSensual Faraar RomanticHindi
Koi Jaye To Le Aaye,AlkaYagnik AnuMalik ShankarMahadevan,BollywoodDance,Ghatak,Hindi,Energetic,AlkaYagnik AnuMalik ShankarMahadevan BollywoodDance Ghatak EnergeticHindi
Tumhi Dekho Naa,AlkaYagnik SonuNigam,BollywoodRomantic,KabhiAlvidaNaaKehna,Hindi,romantic,AlkaYagnik SonuNigam BollywoodRomantic KabhiAlvidaNaaKehna romanticHindi
Sau Dard,SonuNigam Suzanne,BollywoodSad,Jaan-E-Mann,Hindi,sad,SonuNigam Suzanne BollywoodSad Jaan-E-Mann sadHindi
Piya Milenge,SukhwinderSingh,BollywoodSad,Raanjhanna,Hindi,sad,SukhwinderSingh BollywoodSad Raanjhanna sadHindi
Chandan Sa Badan,Mukesh,BollywoodRomantic,Saraswatichandra,Hindi,romantic,Mukesh BollywoodRomantic Saraswatichandra romanticHindi
Kyun (Duet),Shaan ShreyaGhoshal,BollywoodSad,KambakkhtIshq,Hindi,sad,Shaan ShreyaGhoshal BollywoodSad KambakkhtIshq sadHindi
Alcoholic,YoYoHoneySingh,BollywoodDance,TheShaukeens,Hindi,Energetic,YoYoHoneySingh BollywoodDance TheShaukeens EnergeticHindi
Jis Gali Mein Tera Ghar,Mukesh,BollywoodRomantic,KatiPatang,Hindi,romantic,Mukesh BollywoodRomantic KatiPatang romanticHindi
Kurbaan Hua,VishalDadlani,BollywoodDance,Kurbaan,Hindi,Energetic,VishalDadlani BollywoodDance Kurbaan EnergeticHindi
Nagada Nagada,JavedAli SonuNigam,BollywoodDance,JabWeMet,Hindi,Energetic,JavedAli SonuNigam BollywoodDance JabWeMet EnergeticHindi
Main Tujhse Pyaar Nahin Karta,Papon,BollywoodSad,Baby,Hindi,sad,Papon BollywoodSad Baby sadHindi
Ishq Tera,ShreyaGhoshal SonuNigam,BollywoodRomantic,IshqTera,Hindi,romantic,ShreyaGhoshal SonuNigam BollywoodRomantic IshqTera romanticHindi
Oh Jaaniya,RajPandit SalimMerchant ShreyaGhoshal,BollywoodRomantic,WeddingPullav,Hindi,romantic,RajPandit SalimMerchant ShreyaGhoshal BollywoodRomantic WeddingPullav romanticHindi
Jab Kisiki Taraf Dil,KumarSanu,BollywoodRomantic,PyaarToHonaHiTha,Hindi,romantic,KumarSanu BollywoodRomantic PyaarToHonaHiTha romanticHindi
Aye Meri Zindagi – Male Version,ShreyaGhoshal UditNarayan,BollywoodSad,Saaya,Hindi,sad,ShreyaGhoshal UditNarayan BollywoodSad Saaya sadHindi
Jiya Lage Na,RavindraUpadhyay SonaMohapatra,BollywoodRomantic,Talaash,Hindi,romantic,RavindraUpadhyay SonaMohapatra BollywoodRomantic Talaash romanticHindi
Paas Woh Aane Lage,AlkaYagnik KumarSanu,BollywoodRomantic,MainKhiladiTuAnari,Hindi,romantic,AlkaYagnik KumarSanu BollywoodRomantic MainKhiladiTuAnari romanticHindi
Jaane Tere Shehar Ka,VipinAneja,Bollywood,Jazbaa,Hindi,Energetic,VipinAneja Bollywood Jazbaa EnergeticHindi
Pee Paa Pee Paa,DiljitDosanjh,BollywoodDance,TereNaalLoveHoGaya,Hindi,Energetic,DiljitDosanjh BollywoodDance TereNaalLoveHoGaya EnergeticHindi
Ada,SonuNigam,BollywoodDance,GaramMasala,Hindi,Energetic,SonuNigam BollywoodDance GaramMasala EnergeticHindi
Chupke Chupke Ghoor Na Mujhko,AnuMalik UditNarayan VinodRathod,Bollywood,TheGambler,Hindi,Energetic,AnuMalik UditNarayan VinodRathod Bollywood TheGambler EnergeticHindi
Pag Ghungaru Bandh,KishoreKumar,BollywoodDance,NamakHalaal,Hindi,Energetic,KishoreKumar BollywoodDance NamakHalaal EnergeticHindi
Dekho Zara Kaise Balkhake Chali,GurdasMaan,BollywoodDance,SirfTum,Hindi,Energetic,GurdasMaan BollywoodDance SirfTum EnergeticHindi
Aap Ki Kashish,HimeshReshammiya,BollywoodRomantic,AashiqBanayaAapne,Hindi,romantic,HimeshReshammiya BollywoodRomantic AashiqBanayaAapne romanticHindi
Happy Budday,ShankarMahadevan SukhwinderSingh,BollywoodDance,KillDil,Hindi,Energetic,ShankarMahadevan SukhwinderSingh BollywoodDance KillDil EnergeticHindi
Hudd Hudd Dabangg,SukhwinderSingh Wajid,BollywoodDance,Dabangg,Hindi,Energetic,SukhwinderSingh Wajid BollywoodDance Dabangg EnergeticHindi
Bhool Bhulaiyaa,NeerajShridhar,BollywoodDance,BhoolBhulaiyaa,Hindi,Energetic,NeerajShridhar BollywoodDance BhoolBhulaiyaa EnergeticHindi
Tere Mast Mast Do Nain,RahatFatehAliKhan ShreyaGhoshal,BollywoodRomantic,Dabangg,Hindi,romantic,RahatFatehAliKhan ShreyaGhoshal BollywoodRomantic Dabangg romanticHindi
Jai Ho Tiltle Song,ArmaanMalik Wajid,BollywoodDance,JaiHo,Hindi,Energetic,ArmaanMalik Wajid BollywoodDance JaiHo EnergeticHindi
High Heels Te Nachche (Remix),AditiSinghSharma JazDhami MeetBros,BollywoodDance,Ki&Ka,Hindi,Energetic,AditiSinghSharma JazDhami MeetBros BollywoodDance Ki&Ka EnergeticHindi
Zinda,SunidhiChauhan,Bollywood,NaamShabana,Hindi,Energetic,SunidhiChauhan Bollywood NaamShabana EnergeticHindi
Shukran Allah,SalimMerchant ShreyaGhoshal SonuNigam,BollywoodRomantic,Kurbaan,Hindi,romantic,SalimMerchant ShreyaGhoshal SonuNigam BollywoodRomantic Kurbaan romanticHindi
Tere Naina,ShankarMahadevan ShreyaGhoshal,BollywoodRomantic,ChandniChowkToChina,Hindi,romantic,ShankarMahadevan ShreyaGhoshal BollywoodRomantic ChandniChowkToChina romanticHindi
Mere Mehboob Qayamat Hogi,KishoreKumar,BollywoodSad,Mr.XInBombay,Hindi,sad,KishoreKumar BollywoodSad Mr.XInBombay sadHindi
Saad Shukrana,AnkitTiwari,BollywoodRomantic,Mr.X,Hindi,romantic,AnkitTiwari BollywoodRomantic Mr.X romanticHindi
Honeymoon Ki Raat,SunidhiChauhan,BollywoodDance,TheDirtyPicture,Hindi,Energetic,SunidhiChauhan BollywoodDance TheDirtyPicture EnergeticHindi
Sadda Dil Vi Tu,HardKaur,BollywoodDance,ABCD-AnyBodyCanDance,Hindi,Energetic,HardKaur BollywoodDance ABCD-AnyBodyCanDance EnergeticHindi
Yeh Jo Halki Halki Khumariya,RahatFatehAliKhan,BollywoodRomantic,SonofSardaar,Hindi,romantic,RahatFatehAliKhan BollywoodRomantic SonofSardaar romanticHindi
Aye Khuda,KshitijTarey Mithoon SaimBhat,BollywoodSad,Murder2,Hindi,sad,KshitijTarey Mithoon SaimBhat BollywoodSad Murder2 sadHindi
Main Hoon Na,Abhijeet,BollywoodSad,MainHoonNa,Hindi,sad,Abhijeet BollywoodSad MainHoonNa sadHindi
Hum To Tere Aashiq Hain,LataMangeshkar Mukesh,BollywoodRomantic,Farz,Hindi,romantic,LataMangeshkar Mukesh BollywoodRomantic Farz romanticHindi
Jugnu Ki Payal,Shaswati ZubeenGarg,BollywoodDance,Aan-MenAtWork,Hindi,Energetic,Shaswati ZubeenGarg BollywoodDance Aan-MenAtWork EnergeticHindi
Woh Ladki Bahut Yaad Aati,AlkaYagnik KumarSanu,Bollywood,Qayamat,Hindi,Energetic,AlkaYagnik KumarSanu Bollywood Qayamat EnergeticHindi
Jai Mata Di,AlamgirKhan JavedAli,BollywoodDevotional,NanuKiJaanu,Hindi,sad,AlamgirKhan JavedAli BollywoodDevotional NanuKiJaanu sadHindi
Mera Piya Ghar Aaya,KavitaKrishnamurthy,BollywoodDance,Yaraana,Hindi,Energetic,KavitaKrishnamurthy BollywoodDance Yaraana EnergeticHindi
Khushiyon Ka Din Aaya Hai,AnuradhaPaudwal,BollywoodDance,Beta,Hindi,Energetic,AnuradhaPaudwal BollywoodDance Beta EnergeticHindi
Sooraj Ki Baahon Mein,ClintonCerejo DCerejo LoyMendonsa,BollywoodDance,ZindagiNaMilegiDobara,Hindi,Energetic,ClintonCerejo DCerejo LoyMendonsa BollywoodDance ZindagiNaMilegiDobara EnergeticHindi
